2018-08-20 04:24:44 语句：select count(*) as sum from home_user  limit 1
2018-08-20 04:24:44 语句：select home_user.*,admin_vip.* from home_user left outer join admin_vip on home_user.vip_id=admin_vip.vip_id   order by user_id desc  limit 0,5 
2018-08-20 09:10:49 语句：select count(*) as sum from home_user  limit 1
2018-08-20 09:10:49 语句：select home_user.*,admin_vip.* from home_user left outer join admin_vip on home_user.vip_id=admin_vip.vip_id   order by user_id desc  limit 0,5 
2018-08-20 09:44:42 语句：select count(*) as sum from home_user  limit 1
2018-08-20 09:44:42 语句：select home_user.*,admin_vip.* from home_user left outer join admin_vip on home_user.vip_id=admin_vip.vip_id   order by user_id desc  limit 0,5 
2018-08-20 11:35:19 语句：select count(*) as sum from home_user  limit 1
2018-08-20 11:35:19 语句：select home_user.*,admin_vip.* from home_user left outer join admin_vip on home_user.vip_id=admin_vip.vip_id   order by user_id desc  limit 0,5 
2018-08-20 16:37:04 语句：select count(*) as sum from home_user  limit 1
2018-08-20 16:37:04 语句：select home_user.*,admin_vip.* from home_user left outer join admin_vip on home_user.vip_id=admin_vip.vip_id   order by user_id desc  limit 0,5 
2018-08-20 17:59:05 语句：select count(*) as sum,DATE_FORMAT('home_user','%Y-%m') as month from home_user where DATE_FORMAT('reg_time','%Y-%m')>='' AND DATE_FORMAT('reg_time','%Y-%m')<='' GROUP BY DATE_FORMAT('reg_time','%Y-%m')     
2018-08-20 18:32:48 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-08' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-08' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:32:55 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-08' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:35:09 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-08' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:35:44 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='' AND DATE_FORMAT(reg_time,'%Y-%m')<='' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:35:50 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-08' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:37:04 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:37:22 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:39:10 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:42:09 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:43:05 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:43:32 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:44:15 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:46:07 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:46:52 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:48:00 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:50:08 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:51:46 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:56:35 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:57:16 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2008-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2008-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:58:19 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='' AND DATE_FORMAT(reg_time,'%Y-%m')<='' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:00:25 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2016-03' AND DATE_FORMAT(reg_time,'%Y-%m')<='2016-05' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:00:57 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2016-02' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:01:56 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2016-02' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:02:02 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2016-02' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:02:14 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2016-02' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:02:15 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2016-02' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:02:16 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2016-02' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:02:16 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2016-02' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:02:17 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2016-02' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:02:17 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2016-02' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:02:20 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2016-02' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:02:21 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2016-02' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:02:22 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2016-02' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:05:00 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2009-08' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:05:45 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:06:57 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:07:16 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:07:17 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:07:18 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:07:18 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:07:19 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:07:19 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:07:23 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:07:26 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:07:28 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:28 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:29 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:30 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:31 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:32 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:33 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:33 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:33 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:34 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:34 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:36 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:37 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:38 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:38 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:39 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:39 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:08:41 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:10:25 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:10:25 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:12:02 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-03' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-03' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:12:18 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:18:53 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:18:54 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:18:55 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:18:55 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:18:56 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 19:18:56 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 20:01:51 语句：select count(*) as sum from home_user  limit 1
2018-08-20 20:01:51 语句：select home_user.*,admin_vip.* from home_user left outer join admin_vip on home_user.vip_id=admin_vip.vip_id   order by user_id desc  limit 0,5 
